
Country Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Australia,Tonnes - live weight,84045.234,,66918.495,,56989.34,,61227,,52580.2,,56115.197,,48330.56,,41590.66,,42825.01,,43982,,36662.04,,31806.79,,29893,,25736.9,,25336,,20710,,16780,,16476,,15208,,14356,,12724,,10907,,9195,,7069,,7648,,7647,,6192,,4000,,3500,,3300,,2650,,1750,,1750,,240,,53,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Tonnes - live weight,120186,,120427,,118630,,123184,,120553,,123522,,121926,,86347,,97629,,116101,,110328,,101544,,100212,,104075,,102509,,118061,,98370,,96774,,107228,,114921,,95606,,72495,,61990,,49475,,51015,,36475,,33674,,27773,,23483,,17305,,13499,,9625,,5967,,3431,,1385,,682,,349,,222,,68,,143,,76,,27,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Chile,Tonnes - live weight,724835,,786905,,701331,,660644.9,,613610.9,,531897,,608352,,622992,,470256,,386607,,254570,,120000,E,230678,,388048,E,330391,E,375991,E,385086,E,348665,E,279906,E,265205,,253607,,166897,,103242,,107066,,96675,,77327,,54250,,34175,,29180,,23715,,14957,,9478,,1860,,165,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,1,,1,,0,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,Tonnes - live weight,115650,E,88950,E,95000,E,78900,E,86800,E,83300,E,80600,E,86454,,75821,,76564,,60473,,45391,,51383,,38494,,22305,,13078,,18962,,40985,,52526,,44953,,46041,,33508,,39252,,19176,,21103,,17049,,8539,,14868,,17660,,18364,,17914,,13025,,7901,,3400,,3193,,1370,,940,,117,,90,E,60,E,45,E,22,E,,,5,E,2,E,1,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Tonnes - live weight,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,85,,143,,157,,71,,117,,11,,93,,92,,93,,235,,9,,312,,251,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
France,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,,1100,,1391,,1190,,735,,544,,443,,90,,0,N,640,,650,,650,,500,,494,,456,,214,,250,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Tonnes - live weight,46458,,34341,,26957,,13448,,11265,,8420,,3260,,3965,,3018,,2923,,1083,,1068,,714,,0,,903,,4602,,4060,,4082,,1875,,1228,,2419,,2040,,2382,,2194,,2117,,2832,,2591,,2588,,2348,,2125,,2566,,2716,,1480,,1053,,490,,123,,91,,107,,79,E,56,E,39,E,27,E,19,E,13,E,8,E,5,E,1,E,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Tonnes - live weight,12844,,12870,,11333,,11984,,18342,,16300,,13116,,9367.6,,9124.9,,12440,,12196,,15691,,12210,,9217,,9923,,11174,,13764,,14067,,16347,,23231,,23312,,17648,,18076,,14860,,15441,,14025,,11811,,11616,,12366,,9696,,9300,,6323,,5500,,4075,,2300,,1215,,700,,385,,257,,100,,35,,21,,13,,10,,10,,5,E,2,E,1,E,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"Korea, Dem. People's Rep",Tonnes - live weight,60,E,60,E,60,E,60,E,50,E,20,E,20,E,20,E,15,E,15,E,15,E,10,E,10,E,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Norway,Tonnes - live weight,1562415.01,,1388433.84,,1364042.038,,1282003.2,,1236353,,1233619.2,,1303345.8,,1258355.9,,1168324,,1232094.9,,1064868,,939536,,862907.7,,737694,,744222,,629888,,586512,,563815,,509544,,462495,,436103,,440061,,425154,,360806,,332581,,297557,,261522,,202459,,155581,,124138,,154900,,145990,,111337,,78744,,46453,,44831,,29473,,21881,,17298,,10695,,8418,,4312,,4389,,3540,,2137,,1431,,862,,601,,171,,146,,98,,50,,27,E,15,E,8,E,4,E,2,E,1,E,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Russian Federation,Tonnes - live weight,14959,,10855,,32343,,20566,,13016,,12857,,10834,,18675,,22500,,8754,,8500,,4500,,2126,,51,,108,,229,,200,,203,,300,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
