
Country Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Canada,Tonnes - live weight,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,1,,0,,0,,1,,7,,77,,82,,103,,136,,164,,283,,490,,688,,942,,1064,,1541,,1320,,957,,858,,1308,,1396,,2079,,2362,,1079,,1321,,2134,,2209,,2190,,2252,,2200,,1500,,1900,,2300,,2000,,2100,,2800,,2400,,2200,,2100,,1800,,1700,,1600,,1600,,1800,,1600,,1400,,1200,,1200,,1800,,2100,,2300,,2300,,2700,
Denmark,Tonnes - live weight,33,N,16,,30,,31,,15,,51,,95,,125,,121,,103,,90,,130,,67,,19,,64,,164,,202,,356,,442,,321,N,434,N,412,,389,,486,,493,,528,,560,,745,,583,,656,,637,,775,,870,,813,,976,,867,,1496,,1466,,1166,,1025,,1182,,1133,,1044,,952,,1214,,1685,,1848,,1890,,1800,,1600,,1800,,2200,,2400,,2500,,2100,,1700,,2000,,1700,,1200,,1500,,1700,,1100,,1000,,1100,,900,,1000,,600,,1000,,900,,1300,,1100,,1400,
Ecuador,Tonnes - live weight,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Tonnes - live weight,7.448,,10.774,,12,,11,,12,,11,,9,,8,,9,,8,,6,,6,,8,,8,,6,,6,,8,,7,,10,,16,,14,,21,,14,,7,,10,,9,,9,,5,,31,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,N,0,N,0,N,0,N,0,,5,,0,,0,,3,,12,,78,,32,,120,,361,,364,,217,,0,,530,,96,,628,,678,,865,,1025,,553,,0,,37,,40,N,40,,288,,110,,171,,144,,232,,282,,215,,134,,155,,87,,36,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Tonnes - live weight,221,,227,,268.414,,243.611,,255,,288,,254,,311,,295,,366,,248,,236,,367,,365,,373,,343,,564,,608,,376,,474,,596,,743,,691,,799,,1268,,1192,,1299,,1188,,1909,,2172,,2080,,2203,,1166,,798,,1060,,1076,,958,,1090,,610,,568,,724,,599,,558,,532,,699,,688,,697,,747,,700,,500,,500,,500,,500,,500,,400,,300,,300,,500,,400,,300,,300,,300,,300,,300,,300,,300,,300,,300,,400,,400,,400,,400,
France,Tonnes - live weight,3.965,,10.182,,11.370,,6.808,,8.106,,3.335,,6.533,,7.562,,5,,7,,11,,39,,7,,5,,6,,7,,6,,11,,8,,6,,12,,10,,2,,0,N,0,N,0,N,0,N,42,,0,,0,,0,,6,,18,,75,,72,,64,,5,,4,,11,,20,,5,,23,,3,,2,,0,,2,,4,,1,,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Tonnes - live weight,3,,,,5,,5,,0,N,2,,10,,6,,12,,7,,7,,8,,14,,25,,17,,19,,24,,36,,29,,29,,39,,45,,30,,42,,35,,27,,13,,13,,55,,56,,88,,58,,80,,57,,36,,65,,36,,36,,23,,17,,22,,48,,34,,19,,38,,67,,75,,55,,100,,100,,100,,200,,200,,200,,200,,200,,200,,300,,200,,300,,400,,200,,300,,200,,400,,300,,200,,100,,100,,200,,200,,200,
Greenland,Tonnes - live weight,41,,0,,0,,0,,0,,0,,4,,35,,23,,17,,0,,0,,0,,0,,22,,0,,0,,0,,0,,0,,42,,24,,0,,0,,44,,82,N,70,,0,N,0,N,242,,469,,230,,267,,478,,963,N,979,,863,,297,,285,,1077,,1264,N,1193,,1394,,992,,1426,,1175,,1171,,1162,,1585,,1320,,1449,,1267,N,1303,,561,,1278,,1251,,825,,1539,,466,,300,,100,,100,,0,N,,,,,,,,,,,,,,,,,,
Iceland,Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,22,,36,,48,,239,,289,,308,,496,,460,,345,,202,,136,,180,,40,,65,,58,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Tonnes - live weight,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,624,,570,,685,,715,,804,,541,,631,,404,,567,,1079,,1799,,1239,,1845,,1575,,1037,,1400,,803,,638,,911,,1088,,1221,,1321,,1540,,2267,,2103,,1900,,1800,,1500,,1900,,1700,,1400,,1500,,1100,,1300,,1400,,1300,,1300,,600,,600,,800,,800,,900,,700,,600,,900,,900,,900,,1200,,1000,
