Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2011,January,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.66200,Broughton Archipelago,Routine monitoring,27-Jan-11,3,0.25,0.00,0.22,0.05,,1
2011,January,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Routine monitoring,1-Jan-11,3,1.38,0.25,1.10,0.50,,2
2011,January,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Pre-treatment,15-Jan-11,3,2.78,1.22,1.83,0.37,In-feed treatment,2
2011,January,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,5-Jan-11,2,0.35,0.18,0.10,0.00,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Follow-up,20-Jan-11,3,0.07,0.00,0.25,0.02,,1
2011,January,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,23-Jan-11,3,0.27,0.18,0.40,0.00,,1
2011,January,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,Routine monitoring,23-Jan-11,3,0.48,0.20,0.08,0.00,,2
2011,January,1145,Marine Harvest Canada,Potts Bay,50.64920,-126.61820,Broughton Archipelago,Threshold exceedance; Pre-treatment,8-Jan-11,2,4.08,2.68,6.40,2.05,In-feed treatment; Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1145,Marine Harvest Canada,Potts Bay,50.64920,-126.61820,Broughton Archipelago,Follow-up,31-Jan-11,2,1.43,0.83,2.03,0.00,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,January,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,18-Jan-11,3,0.83,0.45,0.03,0.05,,1
2011,January,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,January,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,4-Jan-11,3,0.62,0.25,0.00,0.00,,2
2011,January,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,18-Jan-11,3,0.20,0.08,0.12,0.00,,2
2011,January,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
