DataType,Region,Stock,Rear,Race,SmoltAge,Jacks,SmoltYear,Reach,SAR,LCL,UCL,Reference
CWT,SEAK,Alaska,H,Spr,1,Y,1978,,10.0482,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1979,,0.9316,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1980,,2.4311,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1981,,7.1079,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1982,,5.4734,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1983,,6.4956,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1984,,8.623,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1985,,5.6434,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1986,,3.8953,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1987,,2.1832,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1988,,4.6973,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1989,,2.3042,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1990,,1.6529,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1991,,1.2448,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1992,,1.4655,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1993,,1.901,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1994,,1.5808,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1995,,1.0036,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1996,,1.7011,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1997,,1.6381,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1998,,3.7769,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,1999,,1.3749,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,2000,,2.2624,,,PSC 2019
CWT,SEAK,Alaska,H,Spr,1,Y,2001,,2.5298,,,PSC 2019
