system,species,year,spawners,harvest,exploitation_rate,returns,marine_survival,reference
Fraser,Sockeye,1985,2138600,11739893,0.85,13878493,NA,CSC. 2023
Fraser,Sockeye,1986,3717444,12209994,0.77,15927438,NA,CSC. 2023
Fraser,Sockeye,1987,1924267,5755828,0.75,7680095,NA,CSC. 2023
Fraser,Sockeye,1988,1418299,2355252,0.62,3773551,NA,CSC. 2023
Fraser,Sockeye,1989,3107554,15486930,0.83,18594484,NA,CSC. 2023
Fraser,Sockeye,1990,6084826,15901111,0.72,21985937,NA,CSC. 2023
Fraser,Sockeye,1991,3341463,9049201,0.73,12390664,NA,CSC. 2023
Fraser,Sockeye,1992,1120172,4924845,0.76,6442239,NA,CSC. 2023
Fraser,Sockeye,1993,5779790,17850874,0.76,23630664,NA,CSC. 2023
Fraser,Sockeye,1994,3132629,13366013,0.77,17284640,NA,CSC. 2023
Fraser,Sockeye,1995,1751328,2269086,0.56,4020414,NA,CSC. 2023
Fraser,Sockeye,1996,2091305,2186683,0.48,4520445,NA,CSC. 2023
Fraser,Sockeye,1997,4260917,11426851,0.70,16351769,NA,CSC. 2023
Fraser,Sockeye,1998,4425000,3054000,0.28,10873000,NA,CSC. 2023
Fraser,Sockeye,1999,1833000,561000,0.15,3643000,NA,CSC. 2023
Fraser,Sockeye,2000,2354000,2463000,0.47,5217000,NA,CSC. 2023
Fraser,Sockeye,2001,5278000,1604000,0.22,7213000,NA,CSC. 2023
Fraser,Sockeye,2002,10206000,4223000,0.28,15137000,NA,CSC. 2023
Fraser,Sockeye,2003,1986200,2313102,0.47,4873502,NA,CSC. 2023
Fraser,Sockeye,2004,523800,2339200,0.56,4184200,NA,CSC. 2023
Fraser,Sockeye,2005,3360800,1755300,0.25,7077100,NA,CSC. 2023
Fraser,Sockeye,2006,4662700,5439500,0.42,12981200,NA,CSC. 2023
Fraser,Sockeye,2007,888900,376400,0.25,1510200,NA,CSC. 2023
Fraser,Sockeye,2008,817020,573415,0.33,1740974,NA,CSC. 2023
Fraser,Sockeye,2009,1103603,123154,0.08,1637401,NA,CSC. 2023
Fraser,Sockeye,2010,13142921,13600648,0.48,28264700,NA,CSC. 2023
Fraser,Sockeye,2011,2586595,1763859,0.34,5117248,NA,CSC. 2023
Fraser,Sockeye,2012,924747,662323,0.32,2062044,NA,CSC. 2023
Fraser,Sockeye,2013,2572307,577582,0.13,4278959,NA,CSC. 2023
Fraser,Sockeye,2014,5882932,11159322,0.58,19166249,NA,CSC. 2023
Fraser,Sockeye,2015,1193165,376481,0.19,2010240,NA,CSC. 2023
Fraser,Sockeye,2016,486888,195157,0.22,893730,NA,CSC. 2023
Fraser,Sockeye,2017,955901,105850,0.07,1480835,NA,CSC. 2023
