"Year","Average Weight (kg)","Data Source"
1927,2.39496576,"Killick & Clemens (1963)"
1929,2.56733072,"Killick & Clemens (1963)"
1931,2.494756,"Killick & Clemens (1963)"
1933,2.73062384,"Killick & Clemens (1963)"
1935,2.34053472,"Killick & Clemens (1963)"
1937,2.35414248,"Killick & Clemens (1963)"
1939,2.41764536,"Killick & Clemens (1963)"
1941,2.6308336,"Killick & Clemens (1963)"
1943,2.34053472,"Killick & Clemens (1963)"
1945,2.34960656,"Killick & Clemens (1963)"
1947,2.36321432,"Killick & Clemens (1963)"
1949,2.494756,"Killick & Clemens (1963)"
1951,2.68526464,"Killick & Clemens (1963)"
1953,2.59908216,"Killick & Clemens (1963)"
1955,2.70340832,"Killick & Clemens (1963)"
1957,2.55825888,"Killick & Clemens (1963)"
1959,2.39496576,"Killick & Clemens (1963) / Grant et al. (2014)"
1961,2.9937072,"Killick & Clemens (1963) / Grant et al. (2014)"
1963,2.34507064,"Grant et al. (2014)"
1965,2.824063792,"Grant et al. (2014)"
1967,2.44486088,"Grant et al. (2014)"
1969,2.724273552,"Grant et al. (2014)"
1971,2.355049664,"Grant et al. (2014)"
1973,2.454839904,"Grant et al. (2014)"
1975,2.7442316,"Grant et al. (2014)"
1977,2.674378432,"Grant et al. (2014)"
1979,2.285196496,"Grant et al. (2014)"
1981,2.19538528,"Grant et al. (2014)"
1983,1.94590968,"Grant et al. (2014)"
1985,2.414923808,"Grant et al. (2014)"
1987,2.04569992,"Grant et al. (2014)"
1989,2.04569992,"Grant et al. (2014)"
1991,1.816182368,"Grant et al. (2014)"
1993,1.726371152,"Grant et al. (2014)"
1995,1.726371152,"Grant et al. (2014)"
1997,1.836140416,"Grant et al. (2014)"
1999,1.756308224,"Grant et al. (2014)"
2001,1.94590968,"Grant et al. (2014)"
2003,1.94590968,"Grant et al. (2014)"
2005,1.91415824,"Grant et al. (2014)"
2007,1.90055048,"Grant et al. (2014)"
2009,1.65107488,"Grant et al. (2014)"
2011,1.932755512,"Grant et al. (2014)"
2013,1.86426312,"Grant et al. (2014)"
2015,1.43354953474775,"Grant et al. (2014)"
2017,2.21335214405715,"PSC, Unpublished (2022)"
2019,1.76167936147619,"PSC, Unpublished (2022)"
2021,1.65343944365278,"PSC, Unpublished (2022)"
