facility.num,site,zone,license.holder,latitude,longitude,area
AQ78,Phillips Arm,3.2,Marine Harvest,50.48802,-125.35653,13
AQ100,Lees Bay,3.2,Marine Harvest,50.40861,-125.70015,13
AQ136,Cliff Bay,3.3,Mainstream Canada,50.83357,-126.49918,12
AQ141,Port Elizabeth,3.3,Marine Harvest,50.67284,-126.47715,12
AQ143,Larsen Island,3.3,Marine Harvest,50.60316,-126.63215,12
AQ144,Koskimo,2.4,Marine Harvest,50.45805,-127.88985,27
AQ169,Barkley,2.3,Cermaq,48.94383,-124.98585,23
AQ211,Okisollo,3.2,Marine Harvest,50.2864,-125.35024,13
AQ221,Vantage,3.1,Greig,49.67053,-123.86163,16
AQ227,Bawden,2.3,Mainstream Canada,49.31278,-126.00731,24
AQ234,Dixon,2.3,Mainstream Canada,49.4074,-126.15089,24
AQ304,Raza,3.2,Mainstream Canada,50.32081,-125.00943,13
AQ306,Venture,3.2,Mainstream Canada,50.29936,-125.33725,13
AQ314,Ross Pass,2.3,Mainstream Canada,49.32483,-126.04677,24
AQ332,Salten,3.1,Grieg Seafood,49.61663,-123.83215,16
AQ380,Sonora Pt,3.2,Marine Harvest,50.42297,-125.30462,13
AQ408,Kunechin,3.1,Grieg Seafood,49.63532,-123.78326,16
AQ412,Site 9,3.1,Greig,49.64744,-123.72444,16
AQ465,Swanson,3.3,Marine Harvest,50.61826,-126.70369,12
AQ467,Midsummer,3.3,Marine Harvest,50.65928,-126.66242,12
AQ520,Bedwell,2.3,Cermaq,49.26854,-125.80967,24
AQ526,Rant Pt,2.3,Mainstream Canada,49.25863,-125.84322,24
AQ527,Saranac,2.3,Mainstream Canada,49.24726,-125.90718,24
AQ540,Fortune,2.3,Mainstream Canada,49.2347,-125.75026,24
AQ543,Mussel Rock,2.3,Mainstream Canada,49.25941,-125.86669,24
AQ728,Sir Ed,3.3,Mainstream Canada,50.83134,-126.59616,12
AQ733,Cyrus Rocks,3.2,Marine Harvest,50.25633,-125.20986,13
AQ739,Upper Retreat,3.3,Marine Harvest,50.72149,-126.56608,12
AQ746,Site 13,3.1,Greig,49.62881,-123.84524,16
AQ819,Cecil,3.3,Mainstream Canada,50.8508,-126.71453,12
AQ820,Wicklow,3.3,Marine Harvest,50.78744,-126.69158,12
AQ821,Glacier Falls,3.3,Marine Harvest,50.84656,-126.31882,12
AQ831,Shelter Pass,3.4,Marine Harvest,50.88189,-127.49701,12
AQ869,Maude Island,3.3,Mainstream Canada,50.85044,-126.75707,12
AQ871,Barnes Bay,3.2,Grieg Seafood,50.32382,-125.26107,13
AQ884,Lochalsh,3.5,Marine Harvest,52.53555,-128.35934,7
AQ892,Bell Island,3.4,Marine Harvest,50.83331,-127.52029,12
AQ1059,Sargeaunt Pass,3.3,Marine Harvest,50.67321,-126.18621,12
